BRA;Ruling Cabinet - Start;Name;Start Year;End Year;Ideology;Personality;Loyalty;Picturename;X
160266;Head of Government;Jânio da Silva Quadros;1961;1993;SC;Political Protege;Medium;BRA - Janio Quadros;X
160267;Head of Government;João Goulart;1961;1977;SD;Ambitious Union Boss;Low;BRA - Joao Goulart;X
160268;Head of Government;Humberto de Alencar Castelo Branco;1964;1968;PA;Political Protege;Medium;BRA - Castelo Branco;X
160269;Head of Government;Artur da Costa e Silva;1967;1970;PA;Old General;Medium;BRA - Costa e Silva;X
160270;Head of Government;Emílio Garrastazu Médici;1969;1986;PA;Smiling Oilman;Medium;BRA - Emilio Medici;X
160271;Head of Government;Ernesto Beckmann Geisel;1974;1997;PA;Backroom Backstabber;Medium;BRA - Ernesto Geisel;X
160272;Head of Government;João de Oliveira Figueiredo;1980;2000;PA;Naive Optimist;Medium;BRA - Joao Figueiredo;X
160273;Head of Government;José Sarney;1985;2020;SC;Political Protege;Medium;BRA - José Sarney;X
160274;Head of Government;Fernando Collor de Mello;1990;2020;SC;Backroom Backstabber;Medium;BRA - Fernando Collor;X
160275;Head of Government;Itamar Cautiero Franco;1992;2020;ML;Happy Amateur;Medium;BRA - Itamar Franco;X
160276;Head of Government;Fernando Henrique Cardoso;1995;2020;SL;Naive Optimist;Medium;BRA - Fernando Henrique Cardoso;X
160277;Head of Government;Juarez Fernandes Távora;1956;1964;SC;Old General;Medium;BRA - Juarez Távora;X
160278;Head of Government;Henrique Teixeira Lott;1961;1985;SD;Ambitious Union Boss;Medium;BRA - Henrique Teixeira Lott;X
160279;Head of Government;Elias Ximenes do Prado;1964;2020;SC;Silent Workhorse;Medium;BRA - Elias Prado;X
160280;Head of Government;Leonel Brizola;1964;2005;SL;Flamboyant Tough Guy;Medium;BRA - Leonel Brizola;X
160281;Head of Government;Francisco Julião;1964;1990;SD;Political Protege;Medium;BRA - Francisco Juliao;X
160282;Head of Government;Luiz Inácio Lula da Silva;1990;2020;SD;Ambitious Union Boss;Low;BRA - Lula da Silva;X
160283;Head of Government;Luis Carlos Prestes;1963;1991;ST;Smiling Oilman;High;M34051;X
160284;Head of Government;Giocondo Dias;1980;1988;LE;Happy Amateur;Medium;BRA - Giocondo Dias;X
160285;Head of Government;Salomão Malina;1987;2003;LE;Old General;Medium;BRA - Salomao Malina;X
160286;Head of Government;Roberto Freire;1988;2020;LWR;Backroom Backstabber;Medium;BRA - Roberto Freire;X
160287;Head of Government;Arlindo Veiga dos Santos;1939;1979;PA;Silent Workhorse;High;BRA - Arlindo Veiga dos Santos;X
160288;Head of Government;Plinio Corrêa de Oliveira;1939;1996;PA;Flamboyant Tough Guy;High;BRA - Plino Correa de Oliveira;X
160289;Head of Government;Augusto Rademaker;1969;1986;FA;Old Admiral;Medium;BRA - Augusto Rademaker;X
160290;Head of Government;Raimundo Padilha;1971;1989;FA;Ambitious Union Boss;Medium;BRA - Raimundo Padilha;X
160291;Head of Government;Márcio de Sousa Melo;1972;1991;FA;Old Airmarshal;Medium;BRA - Márcio de Sousa Melo;X
160292;Head of Government;Miguel Reale;1963;2007;FA;Silent Workhorse;Medium;BRA - Miguel Reale;X
